address,项目ID,lat_分析,lon_分析,分享截图,屋顶检测,问题截图,整体效果,问题截图,问题分类,A截图,B截图,C截图,面板铺设,问题截图,电池墙,问题截图,掩码分割,问题截图,标注区域,备注信息,标注人,备注,,,,,,,,
"26 Elmwood Cct, Springfield Lakes QLD 4300澳大利亚",7803,,,,合理,,可接受,,,,,,,,合理,,合理,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Molle St, Hobart TAS 7000澳大利亚",6520,-42.8896392,147.3239025,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"43 Molle St, Hobart TAS 7000澳大利亚",6526,,,,合理,,可接受,,,,,,,,合理,,合理,,,,刘英,,,,,,,,,
"200 Macquarie St, Hobart TAS 7000澳大利亚",6531,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"79 Davey St, Hobart TAS 7000澳大利亚",6535,-42.8871144,147.3258268,,合理,,可接受,,,,,,可接受,,合理,,效果差,,,,刘英,,,,,,,,,
"Avon Cottage, 24 Goulburn St, Hobart TAS 7000澳大利亚",6571,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"195 Liverpool St, Hobart TAS 7000澳大利亚",7255,-42.8839801,147.3238952,,合理,,有问题,,差异较大,,,,合理,,可接受,,合理,,,,刘英,,,,,,,,,
"165 Campbell St, Hobart TAS 7000澳大利亚",6587,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"123 Brooker Ave, Glebe TAS 7000澳大利亚",6592,,,,合理,,可接受,,,,,,合理,,合理,,,,,,刘英,,,,,,,,,
"6 Bayley St, Glebe TAS 7000澳大利亚",6601,,,,合理,,合理,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"12 Aberdeen St, Glebe TAS 7000澳大利亚",6607,-42.8736179,147.3279525,,合理,,有问题,,差异较大,,,,孤立面板,,合理,,合理,,,,刘英,,,,,,,,,
"1 Lillie St, Glebe TAS 7000澳大利亚",6613,-42.8732709,147.3277027,,合理,,合理,,,,,,,,可接受,,合理,,,,刘英,,,,,,,,,
"15 Aberdeen St, Glebe TAS 7000澳大利亚",6617,-42.8729705,147.3274869,,检测错误,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,一大片识别为一栋房子了，目标的绿色房子没检查到,,,,,,,,
"16 Aberdeen St, Glebe TAS 7000澳大利亚",6631,-42.8727341,147.3272272,,合理,,合理,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"25 Bayley St, Glebe TAS 7000澳大利亚",6645,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"21 Bayley St, Glebe TAS 7000澳大利亚",6650,,,,合理,,合理,,,,,,,,合理,,合理,,,,刘英,,,,,,,,,
"29 Bayley St, Glebe TAS 7000澳大利亚",6656,-42.8718082,147.3259304,,合理,,可接受,,,,,,,,可接受,,合理,,,,刘英,,,,,,,,,
"27 Shoobridge St, Glebe TAS 7000澳大利亚",6665,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"16 Allambee Cres, Glebe TAS 7000澳大利亚",6669,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"45 Shoobridge St, Glebe TAS 7000澳大利亚",6675,-42.8710102,147.3231043,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"71 Warwick St, Hobart TAS 7000澳大利亚",6682,-42.8769145,147.3201647,,合理,,可接受,,,,,,孤立面板,,合理,,效果差,,,,刘英,,,,,,,,,
"44 Warwick St, Hobart TAS 7000澳大利亚",6690,-42.8760557,147.3218358,,合理,,合理,,,,,,合理,,可接受,,合理,,,,刘英,,,,,,,,,
"2 Warneford St, Hobart TAS 7000澳大利亚",6698,-42.889848,147.3201004,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"6 Wilmot St, Hobart TAS 7000澳大利亚",6710,-42.8874959,147.3283761,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"91 Campbell St, Hobart TAS 7000澳大利亚",7267,-42.8776934,147.3282322,,检测错误,,有问题,,差异较大,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"99 Campbell St, Hobart TAS 7001澳大利亚",6766,-42.8773503,147.3277568,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"9 Liverpool St, Hobart TAS 7000澳大利亚",6772,-42.8783732,147.3303126,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,,刘英,,,,,,,,,
"67 Warwick St, Hobart TAS 7000澳大利亚",6801,-42.876754,147.3203734,,合理,,可接受,,,,,,数量很少,,可接受,,合理,,,,刘英,,,,,,,,,
"69 Warwick St, Hobart TAS 7000澳大利亚",6814,-42.8767752,147.3202055,,合理,,可接受,,,,,,数量很少,,合理,,效果差,,,,刘英,,,,,,,,,
"14 Church St, Hobart TAS 7000澳大利亚",6835,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"49 Warwick St, Hobart TAS 7000澳大利亚",6842,-42.8757131,147.3216928,,合理,,可接受,,,,,,位置错误,,合理,,效果差,,,,刘英,,,,,,,,,
"11 Warwick St, Hobart TAS 7000澳大利亚",6860,-42.8741472,-42.8741472,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"85 Barrack St, Hobart TAS 7000澳大利亚",6879,-42.8830099,147.3190739,,合理,,合理,,,,,,,,错误,,合理,,,,刘英,,,,,,,,,
"159 Melville St, Hobart TAS 7000澳大利亚",6887,-42.8833252,147.3199164,,合理,,可接受,,,,,,可接受,,合理,,效果差,,,,刘英,,,,,,,,,
"153 Melville St, Hobart TAS 7000澳大利亚",6903,-42.8830519,147.3202732,,合理,,有问题,,差异较大,,,,数量很少,,可接受,,效果差,,,,刘英,,,,,,,,,
"72 Barrack St, Hobart TAS 7000澳大利亚",6941,-42.8841847,147.3202323,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"177 Bathurst St, Hobart TAS 7000澳大利亚",6949,-42.8840301,147.3208424,,合理,,可接受,,,,,,数量很少,,错误,,合理,,,,刘英,,,,,,,,,
"161 Melville St, Hobart TAS 7000澳大利亚",6966,-42.8834247,147.3198672,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"129 Bathurst St, Hobart TAS 7000澳大利亚",6982,-42.8822477,147.3233012,,合理,,有问题,,模型旋转,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"55 Patrick St, Hobart TAS 7000澳大利亚",7251,-42.8782382,147.3216742,,合理,,有问题,,差异较大,,,,合理,,合理,,效果差,,,,刘英,,,,,,,,,
"2 Church St, Hobart TAS 7000澳大利亚",7221,-42.8778323,147.3221639,,合理,,可接受,,,,,,可接受,,合理,,合理,,,,刘英,,,,,,,,,
"15 Church St, Hobart TAS 7000澳大利亚",7025,-42.8771511,147.3217629,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,,刘英,,,,,,,,,
"11 Church St, Hobart TAS 7000澳大利亚",7045,-42.8772354,147.3219743,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"95 Patrick St, West Hobart TAS 7000澳大利亚",7071,-42.8807759,147.3184257,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"97 Patrick St, West Hobart TAS 7000澳大利亚",7084,-42.8808184,147.3183081,,合理,,有问题,,模型旋转,,,,数量很少,,可接受,,效果差,,,,刘英,,,,,,,,,
"115 Patrick St, West Hobart TAS 7000澳大利亚",7119,-42.8815879,147.3172629,,合理,,可接受,,,,,,合理,,可接受,,合理,,,,刘英,,,,,,,,,
"214 Harrington St, Hobart TAS 7000澳大利亚",7121,-42.8805836,147.3170518,,合理,,已解决,,加载失败,,,,,,,,,,,,刘英,,,,,,,,,
"2 Watkins Ave, West Hobart TAS 7000澳大利亚",7123,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"3 Watkins Ave, West Hobart TAS 7000澳大利亚",7128,-42.8811857,147.315813,,合理,,可接受,,,,,,,,可接受,,效果差,,,,刘英,,,,,,,,,
"146 Warwick St, West Hobart TAS 7000澳大利亚",7138,-42.8806897,147.315468,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"148 Warwick St, West Hobart TAS 7000澳大利亚",7211,,,,合理,,可接受,,,,,,可接受,,可接受,,合理,,,,刘英,,,,,,,,,
"151 Warwick St, West Hobart TAS 7000澳大利亚",7162,-42.8807013,147.3144793,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"6 Lochner St, West Hobart TAS 7000澳大利亚",7178,-42.8807272,147.3139139,,合理,,有问题,,缩放问题,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"1 Lochner St, West Hobart TAS 7000澳大利亚",7194,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,,刘英,,,,,,,,,
"4 Lochner St, West Hobart TAS 7000澳大利亚",7210,-42.8808591,147.3138984,,合理,,可接受,,,,,,数量很少,,可接受,,合理,,,,刘英,,,,,,,,,
"9 Browne St, West Hobart TAS 7000澳大利亚",7219,,,,合理,,合理,,,,,,,,合理,,合理,,,,刘英,,,,,,,,,
"13 Lochner St, West Hobart TAS 7000澳大利亚",7220,-42.8797122,147.3147474,,合理,,可接受,,,,,,,,可接受,,合理,,,,刘英,,,,,,,,,
"11 Lochner St, West Hobart TAS 7000澳大利亚",7227,-42.8798453,147.3149474,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,,刘英,,,,,,,,,
"14 Lochner St, West Hobart TAS 7000澳大利亚",7235,-42.8796859,147.3139977,,合理,,可接受,,,,,,孤立面板,,可接受,,效果差,,,,刘英,,,,,,,,,
"10 Minallo Ave, West Hobart TAS 7000澳大利亚",7254,-42.8798237,147.3135309,,合理,,可接受,,,,,,合理,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"12 Minallo Ave, West Hobart TAS 7000澳大利亚",7265,-42.8798794,147.3133913,,合理,,合理,,,,,,合理,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"18 Minallo Ave, West Hobart TAS 7000澳大利亚",7274,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"78 Hill St, West Hobart TAS 7000澳大利亚",7276,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"80 Hill St, West Hobart TAS 7000澳大利亚",7281,,,,合理,,可接受,,,,,,合理,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"4 Petty St, West Hobart TAS 7000澳大利亚",7284,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"10 Petty St, West Hobart TAS 7000澳大利亚",7296,-42.8812639,147.3112816,,合理,,可接受,,,,,,数量很少,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"22 Petty St, West Hobart TAS 7000澳大利亚",7297,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"38 Lansdowne Cres, West Hobart TAS 7000澳大利亚",7302,-42.8818441,147.3099162,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,老版本,刘英,,,,,,,,,
"42 Lansdowne Cres, West Hobart TAS 7000澳大利亚",7305,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"51 Lansdowne Cres, West Hobart TAS 7000澳大利亚",7306,-42.8825509,147.309645,,合理,,可接受,,,,,,,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"34 Lansdowne Cres, West Hobart TAS 7000澳大利亚",7309,-42.8810804,147.3100115,,合理,,可接受,,,,,,数量很少,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"32 Lansdowne Cres, West Hobart TAS 7000澳大利亚",7318,-42.8809865,147.3100477,,合理,,可接受,,,,,,可接受,,合理,,合理,,,老版本,刘英,,,,,,,,,
"19 Petty St, West Hobart TAS 7000澳大利亚",7326,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"13 Petty St, West Hobart TAS 7000澳大利亚",7335,-42.8809054,147.3108769,,合理,,可接受,,,,,,效果差,,合理,,合理,,,老版本,刘英,,,,,,,,,
"52 Argyle St, Hobart TAS 7000澳大利亚",7341,-42.880167,147.3276538,,合理,,合理,,,,,,合理,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"11 Warwick St, Hobart TAS 7000澳大利亚",7350,-42.8741472,147.3237357,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,老版本,刘英,,,,,,,,,
"205 Campbell St, North Hobart TAS 7000澳大利亚",7357,-42.874238,147.3234237,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,老版本,刘英,,,,,,,,,
"49 Warwick St, Hobart TAS 7000澳大利亚",7363,-42.8757131,147.3216928,,合理,,可接受,,,,,,位置错误,,可接受,,效果差,,,老版本,刘英,,,,,,,,,
"23 Church St, North Hobart TAS 7000澳大利亚",7374,-42.8762094,147.3209688,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,老版本,刘英,,,,,,,,,
"25 Church St, North Hobart TAS 7000澳大利亚",7378,-42.876176,147.3208367,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,老版本,刘英,,,,,,,,,
"61 Warwick St, Hobart TAS 7000澳大利亚",7397,,,,合理,,可接受,,,,,,可接受,,合理,,合理,,,老版本,刘英,,,,,,,,,
"1 Tolj Loop, Aveley WA 6069澳大利亚",7402,-31.7947568,115.9821646,,合理,,可接受,,,,,,数量很少,,合理,,合理,,,老版本,刘英,,,,,,,,,
"36 Dulegal Way, Aveley WA 6069澳大利亚",7413,-31.7948154,115.9818225,,合理,,可接受,,,,,,,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"34 Dulegal Way, Aveley WA 6069澳大利亚",7421,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"6 Tolj Loop, Aveley WA 6069澳大利亚",7425,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"32 Dulegal Way, Aveley WA 6069澳大利亚",7430,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"10 Tolj Loop, Aveley WA 6069澳大利亚",7438,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"30 Dulegal Way, Aveley WA 6069澳大利亚",7450,-31.7948106,115.9811779,,合理,,可接受,,,,,,,,可接受,,效果差,,,老版本,刘英,,,,,,,,,
"28 Dulegal Way, Aveley WA 6069澳大利亚",7457,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"12 Tolj Loop, Aveley WA 6069澳大利亚",7465,-31.7950929,115.9809826,,合理,,可接受,,,,,,合理,,错误,,效果差,,,老版本,刘英,,,,,,,,,
"18 Dulegal Way, Aveley WA 6069澳大利亚",7479,-31.7946272,115.9794103,,合理,,可接受,,,,,,孤立面板,,合理,,合理,,,老版本,刘英,,,,,,,,,
"9 Dulegal Way, Aveley WA 6069澳大利亚",7486,-31.7944475,115.9799431,,合理,,合理,,,,,,,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"11 Dulegal Way, Aveley WA 6069澳大利亚",7495,-31.7943893,115.9802179,,合理,,可接受,,,,,,效果差,,合理,,合理,,,老版本,刘英,,,,,,,,,
"7 Dulegal Way, Aveley WA 6069澳大利亚",7506,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"25 Corich Pass, Aveley WA 6069澳大利亚",7515,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"21 Corich Pass, Aveley WA 6069澳大利亚",7518,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"17 Corich Pass, Aveley WA 6069澳大利亚",7523,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"25 Dulegal Way, Aveley WA 6069澳大利亚",7527,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"27 Dulegal Way, Aveley WA 6069澳大利亚",7536,-31.7943777,115.9815528,,合理,,可接受,,,,,,,,可接受,,合理,,,老版本,刘英,,,,,,,,,
"29 Dulegal Way, Aveley WA 6069澳大利亚",7546,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"9 Corich Pass, Aveley WA 6069, Australia",7554,-31.7941217,115.9817423,,,,有问题,,方案兜底,,,,,,,,,,,老版本,刘英,,,,,,,,,
"5 Corich Pass, Aveley WA 6069澳大利亚",7569,,,,合理,,可接受,,,,,,可接受,,合理,,合理,,,老版本,刘英,,,,,,,,,
"33 Dulegal Way, Aveley WA 6069澳大利亚",7587,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"5 Corich Pass, Aveley WA 6069澳大利亚",7594,,,,合理,,可接受,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"35 Dulegal Way, Aveley WA 6069澳大利亚",7602,,,,合理,,合理,,,,,,合理,,合理,,合理,,,老版本,刘英,,,,,,,,,
"15 Neary Blvd, Aveley WA 6069澳大利亚",7607,-31.7941822,115.9826069,,合理,,可接受,,,,,,位置错误,,合理,,合理,,,老版本,刘英,,,,,,,,,
"6 Koroit Way, Aveley WA 6069澳大利亚",7621,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"16 Corich Pass, Aveley WA 6069澳大利亚",7623,-31.7936968,115.9808313,,合理,,可接受,,,,,,,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"25 Demesne Cct, Aveley WA 6069澳大利亚",7629,-31.7934148,115.9805827,,合理,,可接受,,,,,,,,合理,,效果差,,,老版本,刘英,,,,,,,,,
"18 Corich Pass, Aveley WA 6069澳大利亚",7638,,,,合理,,合理,,,,,,,,合理,,合理,,,老版本,刘英,,,,,,,,,
"20 Corich Pass, Aveley WA 6069澳大利亚",7652,-31.7936984,115.9803639,,合理,,可接受,,,,,,,,可接受,,合理,,,老版本,刘英,,,,,,,,,
